index,individual,site,river,species
1,KOB15,KOB,Kokosing,Hybrid
2,KOB14,KOB,Kokosing,Hybrid
3,KOB13,KOB,Kokosing,Hybrid
4,KOB12,KOB,Kokosing,Hybrid
5,KOB11,KOB,Kokosing,Hybrid
6,KOB10,KOB,Kokosing,Hybrid
7,KOB09,KOB,Kokosing,Hybrid
8,KOB08,KOB,Kokosing,Hybrid
9,KOB07,KOB,Kokosing,Hybrid
10,KOB06,KOB,Kokosing,Hybrid
11,KOB05,KOB,Kokosing,Hybrid
12,KOB04,KOB,Kokosing,Hybrid
13,KOB03,KOB,Kokosing,Hybrid
14,KOB02,KOB,Kokosing,Hybrid
15,KOB01,KOB,Kokosing,Hybrid
16,KOA15,KOA,Kokosing,Hybrid
17,KOA14,KOA,Kokosing,Hybrid
18,KOA13,KOA,Kokosing,Hybrid
19,KOA12,KOA,Kokosing,Hybrid
20,KOA11,KOA,Kokosing,Hybrid
21,KOA10,KOA,Kokosing,Hybrid
22,KOA09,KOA,Kokosing,Hybrid
23,KOA08,KOA,Kokosing,Hybrid
24,KOA07,KOA,Kokosing,Hybrid
25,KOA06,KOA,Kokosing,Hybrid
26,KOA05,KOA,Kokosing,Hybrid
27,KOA04,KOA,Kokosing,Hybrid
28,KOA03,KOA,Kokosing,Hybrid
29,KOA02,KOA,Kokosing,Hybrid
30,KOA01,KOA,Kokosing,Hybrid
31,KOC15,KOC,Kokosing,Hybrid
32,KOC14,KOC,Kokosing,Hybrid
33,KOC13,KOC,Kokosing,Hybrid
34,KOC12,KOC,Kokosing,Hybrid
35,KOC11,KOC,Kokosing,Hybrid
36,KOC10,KOC,Kokosing,Hybrid
37,KOC09,KOC,Kokosing,Hybrid
38,KOC08,KOC,Kokosing,Hybrid
39,KOC07,KOC,Kokosing,Hybrid
40,KOC06,KOC,Kokosing,Hybrid
41,KOC05,KOC,Kokosing,Hybrid
42,KOC04,KOC,Kokosing,Hybrid
43,KOC03,KOC,Kokosing,Hybrid
44,KOC02,KOC,Kokosing,Hybrid
45,KOC01,KOC,Kokosing,Hybrid
46,KOK15,KOK,Kokosing,Hybrid
47,KOK14,KOK,Kokosing,Hybrid
48,KOK13,KOK,Kokosing,Hybrid
49,KOK12,KOK,Kokosing,Hybrid
50,KOK11,KOK,Kokosing,Hybrid
51,KOK10,KOK,Kokosing,Hybrid
52,KOK09,KOK,Kokosing,Hybrid
53,KOK08,KOK,Kokosing,Hybrid
54,KOK07,KOK,Kokosing,Hybrid
55,KOK06,KOK,Kokosing,Hybrid
56,KOK05,KOK,Kokosing,Hybrid
57,KOK04,KOK,Kokosing,Hybrid
58,KOK03,KOK,Kokosing,Hybrid
59,KOK02,KOK,Kokosing,Hybrid
60,KOK01,KOK,Kokosing,Hybrid
61,KDN15,KDN,Kokosing,Hybrid
62,KDN14,KDN,Kokosing,Hybrid
63,KDN13,KDN,Kokosing,Hybrid
64,KDN12,KDN,Kokosing,Hybrid
65,KDN11,KDN,Kokosing,Hybrid
66,KDN10,KDN,Kokosing,Hybrid
67,KDN09,KDN,Kokosing,Hybrid
68,KDN08,KDN,Kokosing,Hybrid
69,KDN07,KDN,Kokosing,Hybrid
70,KDN06,KDN,Kokosing,Hybrid
71,KDN05,KDN,Kokosing,Hybrid
72,KDN04,KDN,Kokosing,Hybrid
73,KDN03,KDN,Kokosing,Hybrid
74,KDN02,KDN,Kokosing,Hybrid
75,KDN01,KDN,Kokosing,Hybrid
76,KGL15,KGL,Kokosing,Hybrid
77,KGL14,KGL,Kokosing,Hybrid
78,KGL13,KGL,Kokosing,Hybrid
79,KGL12,KGL,Kokosing,Hybrid
80,KGL11,KGL,Kokosing,Hybrid
81,KGL10,KGL,Kokosing,Hybrid
82,KGL09,KGL,Kokosing,Hybrid
83,KGL08,KGL,Kokosing,Hybrid
84,KGL07,KGL,Kokosing,Hybrid
85,KGL06,KGL,Kokosing,Hybrid
86,KGL05,KGL,Kokosing,Hybrid
87,KGL04,KGL,Kokosing,Hybrid
88,KGL03,KGL,Kokosing,Hybrid
89,KGL02,KGL,Kokosing,Hybrid
90,KGL01,KGL,Kokosing,Hybrid
91,HUX15,HUX,Huron,Hybrid
92,HUX14,HUX,Huron,Hybrid
93,HUX13,HUX,Huron,Hybrid
94,HUX12,HUX,Huron,Hybrid
95,HUX11,HUX,Huron,Hybrid
96,HUX10,HUX,Huron,Hybrid
97,HUX09,HUX,Huron,Hybrid
98,HUX08,HUX,Huron,Hybrid
99,HUX07,HUX,Huron,Hybrid
100,HUX06,HUX,Huron,Hybrid
101,HUX05,HUX,Huron,Hybrid
102,HUX04,HUX,Huron,Hybrid
103,HUX03,HUX,Huron,Hybrid
104,HUX02,HUX,Huron,Hybrid
105,HUX01,HUX,Huron,Hybrid
106,TMR15,TMR,Huron,Hybrid
107,TMR14,TMR,Huron,Hybrid
108,TMR13,TMR,Huron,Hybrid
109,TMR12,TMR,Huron,Hybrid
110,TMR11,TMR,Huron,Hybrid
111,TMR10,TMR,Huron,Hybrid
112,TMR09,TMR,Huron,Hybrid
113,TMR08,TMR,Huron,Hybrid
114,TMR07,TMR,Huron,Hybrid
115,TMR06,TMR,Huron,Hybrid
116,TMR05,TMR,Huron,Hybrid
117,TMR04,TMR,Huron,Hybrid
118,TMR03,TMR,Huron,Hybrid
119,TMR02,TMR,Huron,Hybrid
120,TMR01,TMR,Huron,Hybrid
121,HHT15,HHT,Huron,Hybrid
122,HHT14,HHT,Huron,Hybrid
123,HHT13,HHT,Huron,Hybrid
124,HHT12,HHT,Huron,Hybrid
125,HHT11,HHT,Huron,Hybrid
126,HHT10,HHT,Huron,Hybrid
127,HHT09,HHT,Huron,Hybrid
128,HHT08,HHT,Huron,Hybrid
129,HHT07,HHT,Huron,Hybrid
130,HHT06,HHT,Huron,Hybrid
131,HHT05,HHT,Huron,Hybrid
132,HHT04,HHT,Huron,Hybrid
133,HHT03,HHT,Huron,Hybrid
134,HHT02,HHT,Huron,Hybrid
135,HHT01,HHT,Huron,Hybrid
136,HRM15,HRM,Huron,Hybrid
137,HRM14,HRM,Huron,Hybrid
138,HRM13,HRM,Huron,Hybrid
139,HRM12,HRM,Huron,Hybrid
140,HRM11,HRM,Huron,Hybrid
141,HRM10,HRM,Huron,Hybrid
142,HRM09,HRM,Huron,Hybrid
143,HRM08,HRM,Huron,Hybrid
144,HRM07,HRM,Huron,Hybrid
145,HRM06,HRM,Huron,Hybrid
146,HRM05,HRM,Huron,Hybrid
147,HRM04,HRM,Huron,Hybrid
148,HRM03,HRM,Huron,Hybrid
149,HRM02,HRM,Huron,Hybrid
150,HRM01,HRM,Huron,Hybrid
151,LLB15,LLB,Huron,Hybrid
152,LLB14,LLB,Huron,Hybrid
153,LLB13,LLB,Huron,Hybrid
154,LLB12,LLB,Huron,Hybrid
155,LLB11,LLB,Huron,Hybrid
156,LLB10,LLB,Huron,Hybrid
157,LLB09,LLB,Huron,Hybrid
158,LLB08,LLB,Huron,Hybrid
159,LLB07,LLB,Huron,Hybrid
160,LLB06,LLB,Huron,Hybrid
161,LLB05,LLB,Huron,Hybrid
162,LLB04,LLB,Huron,Hybrid
163,LLB03,LLB,Huron,Hybrid
164,LLB02,LLB,Huron,Hybrid
165,LLB01,LLB,Huron,Hybrid
166,BOK15,BOK,bok,Rusticus
167,BOK14,BOK,bok,Rusticus
168,BOK13,BOK,bok,Rusticus
169,BOK12,BOK,bok,Rusticus
170,BOK11,BOK,bok,Rusticus
171,BOK10,BOK,bok,Rusticus
172,BOK09,BOK,bok,Rusticus
173,BOK08,BOK,bok,Rusticus
174,BOK07,BOK,bok,Rusticus
175,BOK06,BOK,bok,Rusticus
176,BOK05,BOK,bok,Rusticus
177,BOK04,BOK,bok,Rusticus
178,BOK03,BOK,bok,Rusticus
179,BOK02,BOK,bok,Rusticus
180,BOK01,BOK,bok,Rusticus
181,STW15,STW,stw,Rusticus
182,STW14,STW,stw,Rusticus
183,STW13,STW,stw,Rusticus
184,STW12,STW,stw,Rusticus
185,STW11,STW,stw,Rusticus
186,STW10,STW,stw,Rusticus
187,STW09,STW,stw,Rusticus
188,STW08,STW,stw,Rusticus
189,STW07,STW,stw,Rusticus
190,STW06,STW,stw,Rusticus
191,STW05,STW,stw,Rusticus
192,STW04,STW,stw,Rusticus
193,STW03,STW,stw,Rusticus
194,STW02,STW,stw,Rusticus
195,STW01,STW,stw,Rusticus
196,CRM15,CRM,crm,Samborni
197,CRM14,CRM,crm,Samborni
198,CRM13,CRM,crm,Samborni
199,CRM12,CRM,crm,Samborni
200,CRM11,CRM,crm,Samborni
201,CRM10,CRM,crm,Samborni
202,CRM09,CRM,crm,Samborni
203,CRM08,CRM,crm,Samborni
204,CRM07,CRM,crm,Samborni
205,CRM06,CRM,crm,Samborni
206,CRM05,CRM,crm,Samborni
207,CRM04,CRM,crm,Samborni
208,CRM03,CRM,crm,Samborni
209,CRM02,CRM,crm,Samborni
210,CRM01,CRM,crm,Samborni
211,SCL15,SCL,scl,Samborni
212,SCL14,SCL,scl,Samborni
213,SCL13,SCL,scl,Samborni
214,SCL12,SCL,scl,Samborni
215,SCL11,SCL,scl,Samborni
216,SCL10,SCL,scl,Samborni
217,SCL09,SCL,scl,Samborni
218,SCL08,SCL,scl,Samborni
219,SCL07,SCL,scl,Samborni
220,SCL06,SCL,scl,Samborni
221,SCL05,SCL,scl,Samborni
222,SCL04,SCL,scl,Samborni
223,SCL03,SCL,scl,Samborni
224,SCL02,SCL,scl,Samborni
225,SCL01,SCL,scl,Samborni
226,VSG15,VSG,vsg,Samborni
227,VSG14,VSG,vsg,Samborni
228,VSG13,VSG,vsg,Samborni
229,VSG12,VSG,vsg,Samborni
230,VSG11,VSG,vsg,Samborni
231,VSG10,VSG,vsg,Samborni
232,VSG09,VSG,vsg,Samborni
233,VSG08,VSG,vsg,Samborni
234,VSG07,VSG,vsg,Samborni
235,VSG06,VSG,vsg,Samborni
236,VSG05,VSG,vsg,Samborni
237,VSG04,VSG,vsg,Samborni
238,VSG03,VSG,vsg,Samborni
239,VSG02,VSG,vsg,Samborni
240,VSG01,VSG,vsg,Samborni
